"Conference title","Conference code","Joint","Year","Publisher","Ineligible","Duplicate or not available?","Completed","In Anthology?","URL","Editors","Dates held","Location","Complete PDF","Type","Notes","file_name","","","","","","","","","","","","","","","","","",""
"North American Chapter of the Association for Computational Linguistics (NAACL)","","","2000","","FALSE","FALSE","FALSE","FALSE","None","","April 29 - May 3","Seattle Washington 
 D.C.","","None","","","","","","","","","","","","","","","","","","","",""
"North American Chapter of the Association for Computational Linguistics (NAACL)","","","2003","","FALSE","FALSE","FALSE","FALSE","None","","May 27 – June 1","Edmonton Canada","","None","","","","","","","","","","","","","","","","","","","",""
"North American Chapter of the Association for Computational Linguistics (NAACL)","","","2004","","FALSE","FALSE","FALSE","FALSE","None","","May 1-7","Boston Massachusetts","","None","","","","","","","","","","","","","","","","","","","",""
"North American Chapter of the Association for Computational Linguistics (NAACL)","","","2006","","FALSE","FALSE","FALSE","FALSE","None","","June","New York","","None","","","","","","","","","","","","","","","","","","","",""
"North American Chapter of the Association for Computational Linguistics (NAACL)","","","2007","","FALSE","FALSE","FALSE","FALSE","None","","April 22-27","Rochester NY","","None","","","","","","","","","","","","","","","","","","","",""
"North American Chapter of the Association for Computational Linguistics (NAACL)","","","2009","","FALSE","FALSE","FALSE","FALSE","None","","May 31 – June 5","Boulder Colorado","","None","","","","","","","","","","","","","","","","","","","",""
"North American Chapter of the Association for Computational Linguistics (NAACL)","","","2010","","FALSE","FALSE","FALSE","FALSE","None","","June 2-4","Los Angeles California","","None","","","","","","","","","","","","","","","","","","","",""
"North American Chapter of the Association for Computational Linguistics (NAACL)","","","2012","","FALSE","FALSE","FALSE","FALSE","None","","June 3-8","Canada","","None","","","","","","","","","","","","","","","","","","","",""
"North American Chapter of the Association for Computational Linguistics (NAACL)","","","2013","","FALSE","FALSE","FALSE","FALSE","None","","June 9-14","Atlanta Georgia","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","1965","","FALSE","FALSE","FALSE","FALSE","None","","??","New York","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","1967","","FALSE","FALSE","FALSE","FALSE","None","","??","France","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","1969","","FALSE","FALSE","FALSE","FALSE","None","","??","Sweden","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","1971","","FALSE","FALSE","FALSE","FALSE","None","","??","Hungary","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","1973","","FALSE","FALSE","FALSE","FALSE","None","","??","Italy","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","1980","","FALSE","FALSE","FALSE","FALSE","None","","??","Tokyo Japan","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","1982","","FALSE","FALSE","FALSE","FALSE","None","","??","Prague Czechoslovakia","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","1984","","FALSE","FALSE","FALSE","FALSE","None","","July 2-6","California","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","1986","","FALSE","FALSE","FALSE","FALSE","None","","August 25-29","Bonn Germany","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","1988","","FALSE","FALSE","FALSE","FALSE","None","","??","Budapest Hungary","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","1990","","FALSE","FALSE","FALSE","FALSE","None","","??","Finland","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","1992","","FALSE","FALSE","FALSE","FALSE","None","","??","France","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","1994","","FALSE","FALSE","FALSE","FALSE","None","","??","Kyoto Japan","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","1996","","FALSE","FALSE","FALSE","FALSE","None","","August 5-9","Denmark 
","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","1998","","FALSE","FALSE","FALSE","FALSE","None","","??","Montreal, Canada","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","2000","","FALSE","FALSE","FALSE","FALSE","None","","July 29 - August 6","Luxembourg, Luxembourg, Saarbrücken, Germany, Nancy, France","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","2002","","FALSE","FALSE","FALSE","FALSE","None","","August 26-30","Taipei Taiwan","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","2004","","FALSE","FALSE","FALSE","FALSE","None","","August 23-27","Geneva Switzerland","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","2006","","FALSE","FALSE","FALSE","FALSE","None","","July 17-21","Sydney Australia","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","2008","","FALSE","FALSE","FALSE","FALSE","None","","August 18-22","Manchester UK","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","2010","","FALSE","FALSE","FALSE","FALSE","None","","August 23-27","Beijing China","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","2012","","FALSE","FALSE","FALSE","FALSE","None","","December 8-15","Mumbai India","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Linguistics Coling","","","2014","","FALSE","FALSE","FALSE","FALSE","http://www.mt-archive.info/10/Coling-2014-TOC.htm","","August 23-29","Dublin Ireland","","TOC","","","","","","","","","","","","","","","","","","","",""
"Computational Natural Language Learning (CoNLL)","","","1997","","FALSE","FALSE","FALSE","FALSE","None","","July 11","Madrid Spain","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Natural Language Learning (CoNLL)","","","","","FALSE","FALSE","FALSE","FALSE","None","","January 11-17","Australia","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Natural Language Learning (CoNLL)","","","1999","","FALSE","FALSE","FALSE","FALSE","None","","June 12","Bergen, Norway","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Natural Language Learning (CoNLL)","","","2000","","FALSE","FALSE","FALSE","FALSE","None","","September 13-14","Lisbon Portugal","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Natural Language Learning (CoNLL)","","","2001","","FALSE","FALSE","FALSE","FALSE","None","","??","Toulouse, France","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Natural Language Learning (CoNLL)","","","2002","","FALSE","FALSE","FALSE","FALSE","None","","??","Held at coling 2002","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Natural Language Learning (CoNLL)","","","2003","","FALSE","FALSE","FALSE","FALSE","None","","May 31-June 1","Held with hltNaacl 2004","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Natural Language Learning (CoNLL)","","","2004","","FALSE","FALSE","FALSE","FALSE","None","","May 6-7","Boston Mass","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Natural Language Learning (CoNLL)","","","2005","","FALSE","FALSE","FALSE","FALSE","None","","June 29-30","Ann Arbor Michigan","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Natural Language Learning (CoNLL)","","","","","FALSE","FALSE","FALSE","FALSE","None","","June 8-9","New York City","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Natural Language Learning (CoNLL)","","","2007","","FALSE","FALSE","FALSE","FALSE","None","","June 28-30","Prague, Czech Republic","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Natural Language Learning (CoNLL)","","","","","FALSE","FALSE","FALSE","FALSE","None","","August 16-17","Manchester, UK","","None","","","","","","","","","","","","","","","","","","","",""
"Computational Natural Language Learning (CoNLL)","","","2012","","FALSE","FALSE","FALSE","FALSE","None","","July 12-14","Jeju, Korea","","None","","","","","","","","","","","","","","","","","","","",""
"Controlled Language Applications Workshop (CLAW)","","","","","FALSE","FALSE","FALSE","FALSE","None","","March 26-27","Belgium","","None","","","","","","","","","","","","","","","","","","","",""
"Controlled Language Applications Workshop (CLAW)","","","","","FALSE","FALSE","FALSE","FALSE","None","","May 21-22","Pittsburgh Pennsylvania 
 USA","","None","","","","","","","","","","","","","","","","","","","",""
"Controlled Language Applications Workshop (CLAW)","","","2003","","FALSE","FALSE","FALSE","FALSE","http://www.mt-archive.info/00/CLT-2003-TOC.htm","","May 15-17","Ireland","","TOC","","","","","","","","","","","","","","","","","","","",""
"Controlled Language Applications Workshop (CLAW)","","","2006","","FALSE","FALSE","FALSE","FALSE","http://www.mt-archive.info/05/CLAW-2006-TOC.htm","","August 12","Cambridge 
 Mass.","","TOC","","","","","","","","","","","","","","","","","","","",""
"First International Joint Conference on Natural Language Processing","icjnlp","","2004","Berlin/Heidelberg: Springer, 2005","FALSE","FALSE","TRUE","FALSE","http://www.mt-archive.info/00/IJCNLP-2004-abstracts.htm","","March 22-24","Hainan Island, China","","TOC","","2004.icjnlp","","","","","","","","","","","","","","","","","",""
"International Joint Conference on Natural Language Processing (IJCNLP)","","","2005","","FALSE","FALSE","FALSE","FALSE","None","","October 11-13","Jeju Island, Korea","","None","","","","","","","","","","","","","","","","","","","",""
"International Joint Conference on Natural Language Processing (IJCNLP)","","","2008","","FALSE","FALSE","FALSE","FALSE","None","","January 7-12","Hyderabad, India","","None","","","","","","","","","","","","","","","","","","","",""
