Title	Authors	Pdf	Presentation	Volume_Name	Notes
Reviewing Back the Past MT Summits	Makoto Nagao	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Invited papers
Multilingual Information Service System for the Beijing Olympics, a Playground of MT Technologies	Weiquan Liu	http://www.mt-archive.info/05/MTS-2005-Liu-2.pdf			Invited papers
Commercial Language Technology in the Age of Open Source	Rose Lockwood	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Invited papers
Global Public Health Intelligence Network (GPHIN)	Abla Mawudeku and Michael Blench	http://www.mt-archive.info/05/MTS-2005-Mawudeku.pdf			Invited papers
One Decade of Statistical Machine Translation: 1996-2005	Hermann Ney	http://www.mt-archive.info/05/MTS-2005-Ney.pdf			Invited papers
Japan’s IT Strategy	Toru Yamauchi	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Invited papers
Introduction to China’s HTRDP Machine Translation Evaluation	Qun Liu and Hongxu Hou and Shouxun Lin and Yueliang Qian and Yujie Zhang and Hitoshi Isahara	http://www.mt-archive.info/05/MTS-2005-Liu-3.pdf			Invited papers
Phrase-Based Statistical Machine Translation for MANOS System	Bo Xu and Z.B.Chen and W.Wei and W.Pan and Z.D.Yang	http://www.mt-archive.info/05/MTS-2005-Xu.pdf			Invited papers
Improving Machine Translation Quality	Gregor Thurmair	http://www.mt-archive.info/05/MTS-2005-Thurmair.pdf			Invited papers
Research & Development of Multi-lingual Machine Translation and Applications	Huang Heyan	http://www.mt-archive.info/05/MTS-2005-Huang.pdf			Invited papers
Intercultural Collaboration using Machine Translation	Toru Ishida	http://www.mt-archive.info/05/MTS-2005-Ishida.pdf			Invited papers
	Extracting Representative Arguments from Dictionaries for Resolving Zero Pronouns Shigeko Nariyama and Eric Nichols and Francis Bond and Takaaki Tanaka and Hiromi Nakaiwa	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Main conference papers
	Selection of Entries for a Bilingual Dictionary from Aligned Translation Equivalents using Support Vector Machines Takeshi Kutsumi and Takehiko Yoshimi and Katsunori Kotani and Ichiko Sata and Hitoshi Isahara	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Main conference papers
	Subword Clusters as Light-Weight Interlingua for Multilingual Document Retrieval Udo Hahn and Kornel Marko and Stefan Schulz	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Main conference papers
	Example-based Machine Translation Based on TSC and Statistical Generation Zhanyi Liu and Haifeng Wang and Hua Wu	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Main conference papers
	Learning Translations from Monolingual Corpora Hirokazu Suzuki and Akira Kumano	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Main conference papers
	A Practical of Memory-based Approach for Improving Accuracy of MT Sitthaa Phaholphinyo and Teerapong Modhiran and Nattapol Kritsuthikul and Thepchai Supnithi	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Main conference papers
	Machine Translation on the Medical Domain The Role of BLEU/NIST and METEOR in a Controlled Vocabulary Setting Andre Castilla and Alice Bacic and Sergio Furuie	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Main conference papers
A Report on the Machine Translation Market in Japan	Setsuo Yamada and Syuuji Kodama and Taeko Matsuoka and Hiroshi Araki and Yoshiaki Murakami and Osamu Takano and Yoshiyuki Sakamoto	http://www.mt-archive.info/05/MTS-2005-Yamada.pdf			Main conference papers
Document Authoring the Bible for Minority Language Translation	Stephen Beale and Sergei Nirenburg and Marjorie McShane and Tod Allman	http://www.mt-archive.info/05/MTS-2005-Beale.pdf			Main conference papers
	Building an Annotated Japanese-Chinese Parallel Corpus – A Part of NICT Multilingual Corpora Yujie Zhang and Kiyotaka Uchimoto and Qing Ma and Hitoshi Isahara	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Main conference papers
	Europarl A Parallel Corpus for Statistical Machine Translation Philipp Koehn	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Main conference papers
	Construction of Thai WordNet Lexical Database from Machine Readable Dictionaries Patanakul Sathapornrungkij and Charnyote Pluempitiwiriyawej	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Main conference papers
	Augmentation of Modality Translation Rules in Korean-to-English Machine Translation by Rule Learning Seong-Bae Park and Jeong-Woo Son and Yoon-Shik Tae	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Main conference papers
Semantically Relatable Sets: Building Blocks for Representing Semantics	Rajat Kumar Mohanty and Anupama Dutta and Pushpak Bhattacharyya	http://www.mt-archive.info/05/MTS-2005-Mohanty.pdf			Main conference papers
	Maximum Entropy Models for Realization Ranking Erik Velldal and Stephan Oepen	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Main conference papers
	Evaluation of Machine Translation with Predictive Metrics beyond BLEU/NIST CESTA Evaluation Campaign # Sylvain Surcin and Olivier Hamon and Antony Hartley and Martin Rajman and Andrei Popescu-Belis and Widad Mustafa El Hadi and Ismaïl Timimi and Marianne Dabbadie and Khalid Choukri	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Main conference papers
	Inter-rater Agreement Measures and the Refinement of Metrics in the PLATO MT Evaluation Paradigm Keith J. Miller and Michelle Vanni	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Main conference papers
	A Multi-aligner for Japanese-Chinese Parallel Corpora Yujie Zhang and Qun Liu and Qing Ma and Hitoshi Isahara	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Main conference papers
	Thot a Toolkit To Train Phrase-based Statistical Translation Models Daniel Ortiz-Martínez and Ismael García-Varea and Francisco Casacuberta	http://www.mt-archive.info/05/MTS-2005-TOC.htm			Main conference papers
