Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
						
Translating & the Computer 18					18	
					18	
Papers from the Aslib					18	
conference held on					18	
14 & 15 November 1996					1996	
Papers reproduced by permission of Aslib					1996	
Contents					1996	
					1996	
					1996	
Recent Trends in Machine Translation	Muriel Vasconcellos				1996	
Muriel Vasconcellos, President of IAMT, USA					1996	
Multilint - a Technical Documentation System with Multilingual Intelligence	Professor Johann Haller				1996	
Professor Johann Haller, University of Saarbrucken, Germany					1996	
LinguaNet... Setting a linguist to catch a thief	Edward Johnson				1996	
Edward Johnson, University of Cambridge, UK					1996	
Making a service out of MT	Chris Pyne				1996	
Chris Pyne, Sprache & Dokumentation, Germany					1996	
The Logos Living Dictionary - an unprecedented internet resource	Bob Cark				1996	
Bob Cark, Praetorius Ltd, UK					1996	
Towards a more efficient use of PC-based MT in education	Professor Ruslan Mitkov				1996	
Professor Ruslan Mitkov, University of Wolverhampton, UK					1996	
Letting the CAT out of the bag - or was it MT?	Ian Gordon				1996	
Ian Gordon, Trados UK Ltd, UK					1996	
Automate, Emigrate or Evaporate! Automating the localisation process	Orlagh Neary				1996	
Orlagh Neary, Corel Corporation Ltd, Ireland					1996	
MtScript - a multilingual text editor	Abdel-Malek Boualem				1996	
Abdel-Malek Boualem, University of Provence, France					1996	
The European Translation Platform	Geoffrey Kingscott and Secretary and ETP and Managing Director				1996	
Geoffrey Kingscott, Secretary, ETP and Managing Director, Praetorius Ltd, UK					1996	
The Internet - Myth and Reality	Lyn Robinson				1996	
Lyn Robinson, Independent Internet Consultant, UK					1996	
Computer Support for Authoring Multilingual Software Documentation	Professor Donia Scott				1996	
Professor Donia Scott, University of Brighton, UK					1996	
Professional Translation: can it be taught?	Sigrid B Martin				1996	
Sigrid B Martin, University of Kent at Canterbury, UK					1996	
"Kielikone Finnish-English MT system ""TranSmart"" in practical use"	Harri Arnola and Director				1996	
Harri Arnola, Director, Kielikone Ltd, Finland					1996	
Roughlate service for in-house customers	Pertti Nuutiia				1996	
Pertti Nuutiia, Nokia Telecommunications, Finland					1996	
Accessing Internet-based business communication services in your own language	Professor Dr Klaus Schubert				1996	
Professor Dr Klaus Schubert, Fachhochschule Flensburg, Germany					1996	
