Conference Title,Year,Month,Day,place,has TOC?,Link
,N/A,N/A,N/A,,no,
Pre-1980 conferences,N/A,N/A,N/A,,no,
Pre-1980 conferences,1961,N/A,N/A,Cleveland Ohio USA ,no,
Pre-1980 conferences,1963,Sep,1,"Munich Germany 
 Amsterdam North-Holland ",no,
Pre-1980 conferences,1965,N/A,N/A,"New York City 
 Washington D.C. ",no,
Pre-1980 conferences,1977,N/A,N/A,Luxembourg Networks ,no,http://www.mt-archive.info/70/CEC-1977-TOC.htm
1980 to date,N/A,N/A,N/A,,no,
Association for Computational Linguistics (ACL),N/A,N/A,N/A,,no,http://www.mt-archive.info//anthology-new/
Association for Computational Linguistics (ACL),N/A,N/A,N/A,"
 ACL 
 La Jolla California USA ",no,
Association for Computational Linguistics (ACL),1980,Jun,19,"
 Philadelphia USA ",no,
Association for Computational Linguistics (ACL),1981,N/A,N/A,California ,no,
Association for Computational Linguistics (ACL),1982,Jun,16,"
 Toronto Ontario Canada ",no,
Association for Computational Linguistics (ACL),1983,Jun,15,Cambridge Mass. USA ,no,
Association for Computational Linguistics (ACL),1984,N/A,N/A,California USA ,no,
Association for Computational Linguistics (ACL),1985,N/A,N/A,Chicago Illinois USA ,no,
Association for Computational Linguistics (ACL),1986,Jun,10,ACL New York New York USA ,no,
Association for Computational Linguistics (ACL),1987,N/A,N/A,"
 California USA ",no,
Association for Computational Linguistics (ACL),1988,Jun,7,New York USA ,no,
Association for Computational Linguistics (ACL),1989,Jun,26,"Vancouver 
British Columbia Canada ",no,
Association for Computational Linguistics (ACL),1990,N/A,N/A,"Pittsburgh 
 Pennsylvania USA ",no,
Association for Computational Linguistics (ACL),1991,Jun,18,California Berkeley California USA ,no,
Association for Computational Linguistics (ACL),1992,N/A,N/A,Delaware Newark Delaware USA ,no,
Association for Computational Linguistics (ACL),1993,Jun,22,"ACL 
 Columbus Ohio USA ",no,
Association for Computational Linguistics (ACL),1994,N/A,N/A,New Mexico USA ,no,
Association for Computational Linguistics (ACL),1995,N/A,N/A,"ACL Cambridge Massachusetts 
 USA ",no,
Association for Computational Linguistics (ACL),1996,N/A,N/A,Santa Cruz California USA ,no,
Association for Computational Linguistics (ACL),N/A,N/A,N/A,"Distancia Madrid Spain 
 ",no,
Association for Computational Linguistics (ACL),1998,N/A,N/A,"Montreal Canada 
 ",no,
Association for Computational Linguistics (ACL),1999,N/A,N/A,"Maryland 
 USA ",no,
Association for Computational Linguistics (ACL),2000,N/A,N/A,"ACL Hong
Kong ",no,
Association for Computational Linguistics (ACL),2001,Jul,6,"ACL France 
 ",no,
Association for Computational Linguistics (ACL),2002,Jul,6,"Philadelphia Pennsylvania 
 USA ",no,
Association for Computational Linguistics (ACL),2003,Jul,7,Japan ,no,
Association for Computational Linguistics (ACL),2004,N/A,N/A,Barcelona Spain ,no,
Association for Computational Linguistics (ACL),2005,Jun,25,Ann Arbor USA ,no,
Association for Computational Linguistics (ACL),2006,Jul,17,"ACL Sydney Australia 
 ",no,
Association for Computational Linguistics (ACL),2007,Jun,23,Prague ,no,
Association for Computational Linguistics (ACL),2008,Jun,15,ACL Ohio USA ,no,
Association for Computational Linguistics (ACL),2009,N/A,N/A,,no,
Association for Computational Linguistics (ACL),2010,Jul,11,Sweden ,no,
Association for Computational Linguistics (ACL),N/A,N/A,N/A,Portland Oregon USA ,no,
Association for Computational Linguistics (ACL),2012,Jul,8,"
 Korea ",no,
